filename,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSAltitude,GPSAltitudeRef,GPSVersionID,DateTimeOriginal,DateTimeDigitized
2025_1226_112731_012.JPG,21.16187336111111,N,72.78557941666666,E,18.4,0,2.2.0.0,2025:12:26 11:27:30,2025:12:26 11:27:30
2025_1226_112734_013.JPG,21.16190183333333,N,72.78560383333333,E,19.1,0,2.2.0.0,2025:12:26 11:27:33,2025:12:26 11:27:33
2025_1226_112737_014.JPG,21.161909972222222,N,72.78560383333333,E,19.6,0,2.2.0.0,2025:12:26 11:27:36,2025:12:26 11:27:36
2025_1226_112740_015.JPG,21.161877416666666,N,72.78560383333333,E,20.3,0,2.2.0.0,2025:12:26 11:27:39,2025:12:26 11:27:39
2025_1226_112743_016.JPG,21.161779777777777,N,72.78559569444444,E,21.6,0,2.2.0.0,2025:12:26 11:27:42,2025:12:26 11:27:42
2025_1226_112745_017.JPG,21.16169025,N,72.78557941666666,E,22.5,0,2.2.0.0,2025:12:26 11:27:45,2025:12:26 11:27:45
2025_1226_112749_018.JPG,21.161612944444443,N,72.78557941666666,E,20.3,0,2.2.0.0,2025:12:26 11:27:48,2025:12:26 11:27:48
2025_1226_112752_019.JPG,21.161523416666665,N,72.78554686111111,E,19.7,0,2.2.0.0,2025:12:26 11:27:51,2025:12:26 11:27:51
2025_1226_112755_020.JPG,21.16143797222222,N,72.78553872222221,E,19.7,0,2.2.0.0,2025:12:26 11:27:54,2025:12:26 11:27:54
2025_1226_112758_021.JPG,21.161352527777776,N,72.78552244444444,E,20.0,0,2.2.0.0,2025:12:26 11:27:57,2025:12:26 11:27:57
2025_1226_112801_022.JPG,21.16127522222222,N,72.78551430555555,E,20.6,0,2.2.0.0,2025:12:26 11:28:00,2025:12:26 11:28:00
2025_1226_112804_023.JPG,21.161189777777775,N,72.78552244444444,E,20.8,0,2.2.0.0,2025:12:26 11:28:03,2025:12:26 11:28:03
2025_1226_112806_024.JPG,21.161104305555554,N,72.78551430555555,E,23.0,0,2.2.0.0,2025:12:26 11:28:06,2025:12:26 11:28:06
2025_1226_112810_025.JPG,21.161051416666666,N,72.78553872222221,E,24.3,0,2.2.0.0,2025:12:26 11:28:09,2025:12:26 11:28:09
2025_1226_112813_026.JPG,21.161088027777776,N,72.78561197222221,E,26.2,0,2.2.0.0,2025:12:26 11:28:12,2025:12:26 11:28:12
2025_1226_112816_027.JPG,21.16112872222222,N,72.78568519444444,E,27.5,0,2.2.0.0,2025:12:26 11:28:15,2025:12:26 11:28:15
